Text,Label
如今 这肖 申克 囚禁 着 整代人,如今这肖申克囚禁着整代人。
那片 海蓝 太不像话 那么 蓝,那片海蓝的太不像话了。。怎么可以那么蓝~~
看 一遍 原著 小说 觉得 这个 电影 还是 好看,看了一遍原著小说，觉得这个电影还是很好看
人 都 有 被 自己 设置 牢笼 所 禁锢 着 时候 光明 明天 希望 会 因此 沉沦 但 会 突破 战胜 赢得 自我 升华 这部 电影 告诉 似乎 就是 如此 每 一次 观赏 每 一次 感动 都 带给 满满的 希望,"很多人，可能都有被自己设置的牢笼所禁锢着的时候！没有光明，没有明天，没有希望！可能你会因此沉沦，但也可能会突破它，战胜它，最终赢得自我的升华！这部电影告诉我们的似乎就是如此！

    每一次的观赏，每一次的感动，都能带给我满满的希望！"
记住 希望 好事 也许 人间 至善 美好 事 永不 消失,“记住，希望是好事——甚至也许是人间至善。而美好的事永不消失。”
确实 经典 就是 人 信念 力量 吧 真 佩服 男主 脑袋,确实经典，就是人信念的力量吧，真佩服男主的脑袋
令人费解 經典,令人费解的經典
经典电影 看 完 以后 感触 不是 很大 额 随大流 给 个 四星,经典电影 看完以后感触不是很大 额 随大流给个四星
十年 过去 可算 把 片儿 给 看 其实 视听 语言 就 中规中矩 精品 通俗 故事 地方 就 直 给 叙述 非 呈现 想 讲述 东西 并 不 复杂 完全 理解 像 这部 死亡 诗社 放牛班 春天 会 获得 那么 高 大众 口碑 一种 通俗 不至于 庸俗 励志 一个 扎实 沉稳 故事 不过 摩根 弗里 曼 演技 真好 哦 以及 电影 情节 生动 体现 知识 就是 力量,十年过去了可算把这片儿给看了。。其实视听语言就很中规中矩，精品通俗故事，很多地方就很直给，是叙述而非呈现。而想讲述的东西也并不复杂。完全可以理解像这部、死亡诗社、放牛班春天为什么会获得那么高的大众口碑，是一种通俗而不至于庸俗的励志，是一个扎实沉稳的故事。不过摩根弗里曼演技真好。哦以及，电影情节生动体现了知识就是力量- -
Hope is a good thing maybe the best of thing and no good thing ever dy 让 人 振奋 大约 年前 哥哥 一起 看过 一遍 毫无 印象 一次 体会 酣畅淋漓 铭刻 于心 有 鸟儿 羽翼 如此 光辉 注定 不会 被 囚困,"""Hope is a good thing, maybe the best of things, and no good thing ever dies."" 太让人振奋了，大约7年前和哥哥一起看过一遍，但是毫无印象，这一次体会得酣畅淋漓，铭刻于心。有的鸟儿羽翼是如此光辉，他们注定不会被囚困。"
这些 墙 有趣 刚 入狱 时候 痛恨 周围 高墙 慢慢 地 习惯 生活 其中 会 发现自己 不得不 依靠 生存 就 叫 体制 化 瑞德 听闻 老布 死 后 说 一句 话 老布 都 围墙 中 度过 四五十年 早 外界 脱轨 无法 生存 陌生 环境 让 不 适应 到 想要 犯法 重新 回到 肖申克 监狱 绝望 自尽 大多数 人 都 会 被 惯性 推 着 往前走 逐渐 失去 自由 不单是 失去 身体 自由 连 灵魂 锁 那样 大小 空间 内 忙 着 死 还是 忙 着 活 不是 个 简单 选择 这个 选择 需要 更大 勇气 多 付出 不能 将心 束缚 不能 丢弃 希望 无论 身在 何处 坚持 最初 梦想 就是 这部 影片 久久 流传 原因 所在 吧,"“这些墙很有趣。刚入狱的时候，你痛恨周围的高墙；慢慢地，你习惯了生活在其中；最终你会发现自己不得不依靠它而生存。这就叫体制化。”这是瑞德听闻老布死后说的一句话，他和老布，都在这围墙中度过了四五十年，早已经与外界脱轨，无法生存。陌生的环境让他们不适应到想要再犯法以便可以重新回到肖申克监狱，最终绝望自尽。
或许我们大多数人都会被惯性推着往前走，逐渐失去自由，不单是失去了身体的自由，连灵魂也锁在了那样大小的空间内。而忙着等死还是忙着活，这不是个简单的选择。这个选择需要更大的勇气，更多的付出。不能将心束缚，不能丢弃希望，无论身在何处，坚持最初的梦想。
这可能就是这部影片久久流传的原因所在吧。"
不 只是 肖申克 救赎 内心 对 自己 救赎,不只是肖申克的救赎，也是我们内心对自己的救赎
说 不要 放弃 希望,他说，不要放弃希望。
第一条 规矩 不准 渎神 不准 滥呼 上帝 之名 把 信仰 寄托 神 把 贱命 交给 印象 挺 深刻,第一条规矩：不准渎神，不准滥呼上帝之名！”“把信仰寄托神，把贱命交给我。印象挺深刻的
哪怕 看到 这样 完美 结局 有 隐隐 不安 算不算 上 缺乏 安全感,哪怕看到了这样的完美结局，依然有隐隐的不安，算不算得上缺乏安全感。。。
经典 到 不 知道 用 什么 言语 来 评价,经典到不知道用什么言语来评价它
上 个 学期 全班同学 一起 看 心理 电影 下课 依旧 不舍 坐在 位置 上 盯 着 屏幕 看到 最后 嗯 活着 出来 信念 满满的 充斥 着 内心 如果 早就 死 四面 铜墙 里 哪 还有 后来 呢 人生 就是 这样 希望 伴着 绝望 那要 看 想 救赎 自己 还是 了结 罢了,上个学期全班同学一起看的心理电影，下课了依旧不舍的坐在位置上，盯着那屏幕，看到最后，嗯，他活着出来了。信念，满满的充斥着内心，如果是我，可能早就死在那四面铜墙里了，哪还有后来呢。人生，可能就是这样，总是希望伴着绝望，那要看你是想救赎自己还是了结罢了
好好 想想 中国 人 拍 打 几分,好好想想是中国人拍的打几分
完美 诠释 大仲马 洋洋万言 巨著 想要 告诉 人生 宝贵 两样 东西 等待 希望 关 小黑 屋 难熬 吧 有 莫扎特 陪 着 让 把 留声机 带进去 心里 就是 音乐 魅力 无法 把 身上 夺走 分秒 歌剧 影史 上 令人难忘 古典音乐 场景 之一 费加罗 婚礼 Sullaria 唱 希望 自由,完美诠释了大仲马洋洋万言的巨著想要告诉我们的：人生最宝贵的两样东西 等待和希望”关小黑屋很难熬吧 -有莫扎特陪着我 -他们让你把留声机带进去？-在我心里，这就是音乐的魅力 他们无法把它从你身上夺走“3分47秒的歌剧可能是影史上最令人难忘的古典音乐场景之一 费加罗婚礼Sull'aria唱的是希望和自由
蛮 值得一看 电影 精彩 肖申克 救赎 救赎 灵魂 渴望 自由 只要 有 希望 就 有,蛮值得一看的，电影很精彩。肖申克的救赎，救赎的是灵魂，渴望的是自由，只要有希望，就有可能。
看到 旧社会 黑暗 有 一种 心潮澎湃 人性 温暖,虽然看到了旧社会的黑暗，但是又有一种心潮澎湃，又有些人性的温暖。
鸟儿 永远 关不住 它们 每 一片 羽翼 上 都 沾满 自由 光辉 那些 高墙 挺 有意思 开始 时候 痛恨 它们 后来 就 适应 时间 久 变得 离不开 它们 依赖 它们 就是 体制 化 希望 件 美好 事 也许 世间 美好 东西 美好 事物 永不 消逝,"“有些鸟儿是永远关不住的，因为它们的每一片羽翼上都沾满了自由的光辉！”  
“那些高墙挺有意思，开始时候你痛恨它们，后来你就适应了。时间久了,你变得离不开它们依赖它们了。这就是体制化。” 
“希望是件美好的事，它也许是世间最美好的东西，而美好的事物永不消逝。”"
对 自由 渴望 不会 表现 出来 逃不过 自己 内心深处 渴望 哎 最后 才 发现 被 冤枉 看 都 纠结 死,对自由的渴望可能不会表现出来，但是逃不过自己内心深处的渴望！哎，最后才发现是被冤枉的，看的我都纠结死了！
希望 什么 即便 绝望 中 不 放弃 信念 是非 善恶 之虫 人 终究 渺小 希望 让 人 变得 伟大,希望是什么？即便在绝望中不放弃的信念。在是非善恶之虫，人终究是渺小的，而希望，让人变得伟大。
小时候 看 少年 看中 年 看 都 觉得 一般,小时候看，少年看，中年看，都觉得一般。
不管 身在 何处 记得 记得 善良 锋芒 记得 希望 为 何物 记得 自由 羽翼 如何 舒展 时刻 准备 着 张开 臂膀 暴雨 夜 突围,不管身在何处，要记得你仍是你，记得你的善良与锋芒，记得希望为何物，记得自由的羽翼该如何舒展，时刻准备着张开臂膀在暴雨夜的突围。
不错 但 被 严重 高估 表达 东西 比较 直白 粗暴 对 自由 禁锢 他人 施恶 于是 这种 苦难 只是 个体 偶然 断绝 普适性 探讨 人物 脸谱化 个人 英雄主义 泛滥 典型 好莱坞 商业 励志 片,还不错，但被严重高估。表达的东西比较直白粗暴。对自由的禁锢是由于他人施恶，于是这种苦难只是个体的偶然，断绝了更普适性的探讨。人物脸谱化，个人英雄主义泛滥，典型的好莱坞商业励志片
有 感觉 一部 片子 人性,很有感觉的一部片子。。人性
一个 天才 银行家 意外 发现自己 被 戴 绿帽子 失手 杀 自己 老婆 奸夫 被 关进 监狱 大人 其实 冤枉 吖 然后 监狱 开启 大神 模式 帮 监狱长 逃税 漏税 丰富 狱友 精神 文化 生活 跟 好 基友 并肩 斗智斗勇 监狱 官 以后 凭借 一把 鹤嘴锄 日夜 凿壁 一个 风雨交加 夜晚 成功 越狱 励志 吧,一个天才银行家意外发现自己被戴了绿帽子，“失手”杀了自己老婆和奸夫被关进监狱（大人！其实他是冤枉的吖），然后在监狱开启大神模式——帮监狱长逃税漏税，丰富狱友的精神文化生活，跟好基友并肩斗智斗勇监狱官……以后凭借一把鹤嘴锄日夜凿壁，在一个风雨交加的夜晚成功越狱！很励志吧
好久 不想 说 什么 感动 着 我加 这个 片子 时 的话 要说 真的 一部 装饰 精美 马路 片 说 这话 一点 不装 请 勇敢 站 出来 肖申克 作为 一部 电影 只是 中规中矩 好莱坞 流水线 产物 作为 励志 故事 摄影 做 很漂亮,好久了，不想说什么。但是，一直是感动着的...以上是我加这个片子时的话，现在我要说的是，这真的是一部装饰精美的马路片。说这话一点不装，请勇敢的站出来，肖申克作为一部电影只是中规中矩的好莱坞流水线产物~~~作为励志故事和摄影，做得已经很漂亮了~~~
好看 不 喜欢 有点 平淡,好看，我不喜欢。有点平淡
经典 不管 如何 都 不要 放弃 希望 即使 会 给 带来 危险,经典，不管如何都不要放弃希望，即使可能会给你带来危险。
其实 没 那么 好,其实没那么好
一起 看 励志 一部 电影 说明 拥有 一技之长 多么 重要 希望 件 好 东西 希望 有,和他一起看的，很励志的一部电影，也说明了拥有一技之长是多么重要……希望是件好东西，希望我也有。
一 开始 疑惑 这部 片 叫 肖申克 救赎 原来 这是 一部 自我 救赎 故事 忙 着 生 忙 着 死心 存 希望 就 会 有 奇迹,一开始还疑惑这部片为什么叫肖申克的救赎，原来这是一部自我救赎的故事，要么忙着生，要么忙着死，心存希望就会有奇迹
一部 女主角 无 关乎 情爱 经典 恐惧 让 沦为 囚犯 希望 让 重获 自由 共勉,"一部没有女主角无关乎情爱的经典
恐惧让你沦为囚犯，希望让你重获自由。共勉"
看 时候 正是 迷茫 人生 阶段 以前 有 听说 过 这个 片子 陆陆续续 看过 几次 都 没什么 印象 今天 刚好 有 时间 沉下 心来 看看 说实话 没 看 懂 是因为 这个 年纪 人生 阅历 太浅 看 网友 们 深刻 解读 以后 有点 感悟到 所谓 救赎 其实 就是 自己 外界 和解 监狱 里 相比 看似 都 自由 从来 感觉 到 幸福 爱 呢 就 像 活在 迷茫 焦虑 中 但 明明 自由 呀 被 什么 围墙 限制 起来 可 总 觉得 活 那么 痛苦 那么 黑暗 那么 希望 呢 Andy 说 希望 件 美好 事 Red 说 希望 件 危险 事 其实 个人 活 像 red 怕 犯错 被 自己 内心 条条框框 束缚 起来 想 去 找寻 自己 内心 自由,看它的时候，正是我在迷茫的人生阶段，以前我一直有听说过这个片子 你陆陆续续的看过几次 但是都没什么印象了 ，今天刚好有时间 沉下心来看看 ，说实话 我没怎么看懂 ，也可能是因为我这个年纪和人生阅历太浅了 ，但是看了很多 网友们的深刻解读以后 ，我大概有点感悟到了 ，所谓的救赎 ，其实就是和自己、外界和解，和监狱里的他们相比 ，我们看似都是自由的，但是为什么却从来没有感觉到幸福和爱呢？就像我现在一直活在迷茫和焦虑中， 但明明我是自由的呀，我也没有被什么围墙而限制起来 ，可我为什么总觉得活的那么痛苦 那么黑暗 那么没有希望 呢？ Andy说 希望是件美好的事 ，Red说 希望是件危险的事 ，其实我个人活的很像red ，我也怕犯错 我也被自己内心的条条框框束缚起来了，我也想去找寻自己内心的自由 。
永远 冷静 永不 绝望 才 救赎 最佳 途径,永远冷静，永不绝望才是救赎的最佳途径！
A cheap and reactionary film There is no redemption here but hope the hope of what What happens the next day when parole officer catch up with Red What happens to bringing the real culprit of Andys wife behind the bar Where is the PTSD of an institutional man There is no deep critique of prison economy here nor that of Americas CJS all we have is a few corrupt official outsmarted by a banker who of course ran away w all the money and is praised for it sound familiar The completely implausible figaro sequence cheapens the real struggle for freedom All of this is the stuff of cheap Hollywood,"A cheap and reactionary film. There is no ""redemption"" here, but ""hope"" (the hope of what?). What happens the next day, when parole officers catch up with Red? What happens to bringing the real culprit of Andy's wife behind the bar? Where is the PTSD of an ""institutional man?"" There is no deep critique of prison economy here, nor that of America's CJS (all we have is a few corrupt officials outsmarted by a banker who of course ran away w all the money and is praised for it, sounds familiar?). The completely implausible ""figaro"" sequence cheapens the real struggle for freedom. All of this is the stuff of cheap Hollywood."
监狱 里 高墙 实在 有趣 刚 入狱 时候 痛恨 周围 高墙 慢慢 地 习惯 生活 其中 会 发现自己 不得不 依靠 生存 就是 体制 化 记住 希望 好事 也许 人间 至善 美好 事 永不 消失 肖申克 救赎 什么,"监狱里的高墙实在是很有趣。刚入狱的时候，你痛恨周围的高墙；慢慢地，你习惯了生活在其中；最终你会发现自己不得不依靠它而生存。这就是体制化。
记住，希望是好事——甚至也许是人间至善。而美好的事永不消失。
肖申克的救赎到底是什么？"
恐惧 让 沦为 囚犯 希望 让 重获 自由 肖申克 救赎,恐惧让你沦为囚犯，希望让你重获自由。——《肖申克的救赎》 .
如果 不是 阿甘正传 一年 绝对 奥斯卡 最佳影片 这部 电影 一部 传奇 IMDb 豆瓣 时光 心中 永恒 经典 体制 化 害死 人 啊,如果不是与阿甘正传一年，绝对的奥斯卡最佳影片。这部电影是一部传奇，IMDb 豆瓣 时光和我们心中永恒的经典！体制化害死人啊
赏析 课看 电影 经典 有 深度 这样 电影 才 称得上 佳作,赏析课看的电影，很经典，很有深度，这样的电影才称得上佳作
不 容错过 经典电影,不容错过的经典电影。
人 感性 面对 残酷 环境 人 本能 反应 便是 奋力 抗争 当 这个 环境恶劣 到 程度 时人 抗争 之心 就 会 慢慢 被 消磨 殆尽 成为 行尸走肉 只要 还有 希望 都 抗争 不是 吗,人是感性的，面对残酷的环境，人本能的反应便是奋力抗争，而当这个环境恶劣到一定的程度时，人的抗争之心就会慢慢被消磨殆尽，成为行尸走肉。但是只要还有希望都要抗争到底不是吗？
懦怯 囚禁 人 灵魂 希望 令 感受 自由 强者 自救 圣者 渡人 经典,懦怯囚禁人的灵魂，希望可以令你感受自由，强者自救，圣者渡人。经典
是因为 知道 片子 怎么回事 觉得 有点 不够 震撼 是因为 以前 看过 越狱 没 新鲜感 总之 没 觉得 太好 头重脚轻,可能是因为我已经知道片子是怎么回事了，所以觉得有点不够震撼。也可能是因为以前看过越狱了，所以也没新鲜感了。总之，没觉得太好，头重脚轻的
下水道 逃生 看到 被 震撼 人 求生 意志 对 自由 向往 有多强 这部 电影 给 答案,从下水道逃生，看到这里我已经被震撼了。人的求生意志和对自由的向往有多强，这部电影给你答案
很棒 一部 电影 一部 完全 不 需要 女主 女配 电影 有时候 想想 国产片 走不出 国门 觉得 广电 有 责任 不许 拍 不许 拍 就 类型 电影 喜欢 类型 越狱 题材 还有 美剧 越狱 看 第一部 美剧 真的 好好看 国家 电影 电视剧 这种 类型 题材 万恶 广电,很棒的一部电影，一部完全不需要女主女配的电影。有时候想想，我们国产片为什么走不出国门，我觉得广电也有一定责任，这不许拍那不许拍，就比如这类型的电影，很喜欢这类型的越狱题材，还有美剧的越狱，我看的第一部美剧，真的好好看。我们国家的电影或电视剧，基本没有关于这种类型的题材。万恶的广电
剧本 有 问题,剧本有问题。
Hope is everything,Hope is everything.
每当 失意 时刻 都 有 这部 片子 相伴 竟然 点 看过 一个 玩笑 清楚 记得 安迪 大家 楼顶 喝啤酒 露出 微笑 一个 标志性 转折 隐忍 每次 回忆起 都 格外 感动 导演 都 没想到 这部 作品 中国 权威 电影 网站 里 雄居 榜首 好多年,每当我之前的最失意时刻，都有这部片子相伴。竟然没有点看过，大概是一个玩笑。清楚记得安迪和大家在楼顶喝啤酒露出的微笑，那是一个标志性的转折。而后的隐忍，每次回忆起，我都格外感动。或许导演都没想到，他的这部作品能在中国最权威的电影网站里雄居榜首好多年。
也许 这个 电影 拍 第一名 是因为 不同 年龄段 看 就 会 有 不同 感受 说实话 看 懂 剧情 希望 年 后 看会 明白 人生 意义,也许，这个电影能拍第一名是因为在不同的年龄段看就会有不同的感受。说实话，我现在只看懂了剧情，希望在30年后我再看会明白人生的意义。
httpwwwbigheadcnp,http://www.bighead.cn/?p=34
不错 但 不至于 第一,还不错，但也不至于第一。
看 完 沒 有 身邊 所有人 說 那樣 激烈 情緒 出現 感動 也好 激奮 也好 觸動 什麼 哭 出來 都 沒 有 只是 覺得 做 一切 真的 正常 平常 不過 事情 身處 其中 不會 有別 選擇 去 做 除了 選擇 自由 信仰 沒 有別 答案 走 這是 唯一 該 做,"我看完它沒有身邊所有人說的那樣激烈的情緒出現，感動也好，激奮也好，又或者是觸動了什麼哭出來，我都沒有。
我只是覺得，他做的一切真的是再正常再平常不過的事情。身處其中，我不會有別的選擇要去做，除了選擇自由和信仰我沒有別的答案。
走，這是我唯一該做的。"
看过 多遍 对 人性 方面 都 有 独到 阐述 理解 每看 一次 都 有 不同 体会,看过太多遍了，对人性的许多方面都有独到的阐述和理解，每看一次都有不同体会
也许 类似 故事 看得 太多 以致 无法 给出 五星,也许是类似的故事看得太多了，以致我无法给出五星
影片 主人公 用 二十年 时间 救赎 自己 罪 最后 获得 重生 时候 真诚 欣慰 源于 不靠 戏剧性 转折 只靠 执着 坚持 人们 喜欢 看 越狱 题材 电影 想 不 剧情 刺激 多 时刻 都 憧憬 着 冲破 身体 上 枷锁 精神 上 牢狱 这是 精神 补偿 表现,影片的主人公用了二十年的时间，救赎自己的罪，最后获得重生的时候，我们真诚的欣慰是源于他不靠戏剧性的转折，只靠执着与坚持。人们总是喜欢看越狱题材的电影，我想不只因为剧情刺激，更多的是，我们时刻都憧憬着冲破身体上的枷锁和精神上的牢狱，这是我们精神补偿的表现。
看 哭 经典 中 经典,看哭，经典中的经典
喜欢 里面 一句 话 希望 好事 也许 人间 至善 美好 事 永不 消逝 经典 片子,很喜欢里面的一句话，希望是好事，也许是人间至善，而美好的事永不消逝。很经典的片子
就算 这个 监狱 牢固 围墙 多 下水道 再长 永远 困 不住 永远,就算这个监狱再牢固，围墙再多，下水道再长，也永远困不住他，是永远。
不得不 说 能触 碰到 人心 细腻 打动,不得不说很能触碰到人心，细腻的打动你
特效 打斗 大部分 都 监狱 里 人们 交谈 场景 这是 一部 触摸 到 灵魂 电影,没有特效  没有打斗 大部分都是监狱里的人们交谈的场景   这是一部能够触摸到灵魂的电影。
有 二十年 时间 都 不想 看 这片 人 所 称赞 美德 一般 都 挺 让 犯 恶心 本来 只想 清理 一下 硬盘 看 二十分钟 开始 觉得 不妙 片子 完成度 太高 精致 演员 到 布景 到 化妆 构成 节奏 运镜 搞 出 一个 我想糊 导演 一脸 童话 结局 还是 没法 给 减星,我有二十年时间都不想看这片，因为人所称赞的美德一般都挺让我犯恶心的。本来只想清理一下硬盘，看了二十分钟开始觉得不妙，这片子完成度太高太精致了。从演员到布景到化妆，构成和节奏和运镜。所以虽然搞出一个我想糊导演一脸的童话结局，我还是没法给它减星。
自由 不 外面 在于 内心 唯有 自我 救赎 才 出口,自由不在外面，而在于内心，唯有自我救赎才是出口
有 人 羽翼 如此 光辉 即使 世界 上 黑暗 牢狱 无法 长久 地 将 围困 忙 着 生存 赶着 去 死 人 做点 什么,有的人的羽翼是如此光辉，即使世界上最黑暗的牢狱，也无法长久地将他围困！所以，要么忙着生存，要么赶着去死！ 人总是要做点什么的……
看到 有 恶意 打一星 才 想 起来 没 打分 呢 前两天 表哥 装 文艺 说 跟 推荐 个 电影 问 什么 电影 说 肖申克 救赎 神经病 肖申克 救赎 推荐 啊,看到有恶意打一星的才想起来我还没打分呢！前两天我表哥装文艺说跟我推荐个电影，我问他什么电影，他说《肖申克的救赎》，神经病！《肖申克的救赎》还要你推荐啊！
Freedom,Freedom
不必 对比 什么 作为 里程碑 无敌,不必对比什么 作为里程碑他已经无敌
年 看 第一部 时候 就 想着 回国 如果 这样 剧组 工作 就 好 结果 今年 就 真的 这部 片尾 字幕 有荣 焉 今天 想念 组里 朋友 们,2019年看第一部的时候就想着，回国之后如果能在这样的剧组工作就好了，结果今年就真的在这部的片尾字幕了。🥰与有荣焉。今天很想念组里的朋友们。
原来 人死 后 继续 干 生前 活儿 真的,原来人死后还要继续干生前的活儿是真的。
刘德华 那条 线 给 整个 电影 情节 优化 不止 一点儿 溺水 后 推开 门 那一刻 瞬间 这是 国产电影 有 剧情 吗,刘德华那条线，给整个电影情节优化了不止一点儿，尤其是溺水后推开门的那一刻，我瞬间：“这是国产电影能有的剧情吗？”
这是 俄罗斯 型号 安全 保险 只有 两个 扳机,“这是俄罗斯的型号，没有安全保险，只有两个扳机。”
三星 半 郭帆 拍片 恳切 场景 设计 视效 细腻 度 上 被 展现 淋漓尽致 一次 拉高 中国 科幻 作品 工业 水准 雪健 老师 依旧 老辣 刘德华 则 收获 近年来 最有 挑战 角色 可惜 这部 续作 叙事 层面 太过 松散 刘培强 图恒宇 两条 主线 并行 给 周喆直 超大 篇幅 以至于 情节 取舍 变得 犹疑不决 对 节奏 先行 科幻片 来说 大忌 角色 篆刻 比重 系列 未来 第一 优先 做 功课,三星半。郭帆拍片的恳切，在场景设计和视效的细腻度上，被展现得淋漓尽致，又一次拉高了中国科幻作品的工业水准。雪健老师依旧老辣，刘德华则收获了近年来最有挑战的角色。可惜的是，这部续作在叙事层面太过松散，刘培强、图恒宇两条主线并行，还要给周喆直超大篇幅，以至于情节取舍变得犹疑不决，这对节奏先行的科幻片来说是大忌。角色的篆刻比重，是该系列在未来第一优先要做的功课。
流浪 地球 系列 单枪匹马 把 中国 科幻电影 提升 到 世界级 水平 不是 老套 个人 英雄主义 冒险 故事 而是 一个 宏大 全人类 史诗 分钟 片长 三条 缺乏 交互 故事 线慢 热 节奏 劝 退路 人 冗长 数字 生命线 确实 讨好 影迷 科幻 迷可 无疑 提高 对 广大 路人 门槛 豆瓣 用户 狂吹 刘德华 线 但 电影院 里 刘德华 线 让 观众 低头 玩 手机 年月日 刘培强 先生 生日快乐 就 世界末日 房价 才 会 跌 最后 这不比 阿凡 达 家庭 伦理 美式 霸凌 好看,"《流浪地球》系列，单枪匹马，把中国的科幻电影提升到世界级水平。
这不是老套的个人英雄主义冒险故事，而是一个宏大的全人类史诗。
但是，173分钟的片长，三条缺乏交互的故事线，慢热的节奏，劝退路人的冗长数字生命线，确实是讨好了影迷与科幻迷，可无疑也是提高了对广大路人的门槛。
豆瓣用户狂吹刘德华线，但电影院里刘德华线却让很多观众低头玩手机。
2023年1月22日，刘培强先生，生日快乐！
可能也就世界末日了，房价才会跌。
最后，这不比《阿凡达2》的家庭伦理与美式霸凌好看?"
故事 冗长 且 稀碎 想 讲 多 一样 都 完全 说 清楚 全程 给 妈 讲解 坐 旁边 全程 给 妈 讲解 其实 年 那段 塞 这部 里 必要 生命 文明 现实 虚拟 只有 标签 口号 智性 讨论 全程 就是 看 一群 固执 爹 抗拒 自然 不 被 任何人 事 说服 动摇 强行 按 自己 意志 支配 地球 地球 上 所有 生命 并 称之为 勇气 前脚 才 感叹 人类 把 最强 密码 用 互相攻击 武器 上 后腿 就 把 人类 分成 一面 想当 老大 任何人 都 正确 伟大光荣 听 就 对 一面 装和气 为 全人类 考虑 为 伟大光荣 正确 决策 所 造成 后果 承担责任 不是 想 搞 强霸全 片刻 意 制造 笑 点 都 这种 啥 啥 自我 矛盾 好笑,故事冗长且稀碎。想讲的太多，一样都没有完全说清楚。我全程给我妈讲解，坐我旁边的也在全程给他妈讲解。其实2044年那段没有塞在这部里的必要。关于生命和文明，现实和虚拟，只有标签和口号，没有智性的讨论。全程就是看一群固执的爹抗拒自然，不被任何人和事说服甚至动摇，强行按自己的意志支配地球和地球上的所有生命，并称之为「勇气」，前脚才感叹「人类把最强的密码用在了互相攻击的武器上」后腿就把人类分成「我们的」和「你们的」一面想当老大「我们比你们其他任何人都要正确伟大光荣，听我们的就对了」一面装和气「我们是为全人类考虑，是在（为我们伟大光荣正确的决策所造成的后果）承担责任，不是想搞强霸」，全片刻意制造的笑点，都没有这种又啥又啥的自我矛盾好笑。
笨笨 军犬,笨笨！！你是军犬！！
预期 好 就是 个 纪录片 情节 平淡 佩服 李雪健 屁事 都 没 做 什么 情况 都 不 知道 就 信心 最足 信念 坚定 真 都 来 做 决定 都 玩完,没有预期好，就是个纪录片，情节太平淡。最佩服李雪健，屁事都没做，什么情况都不知道，就他信心最足，信念坚定，要真都他来做决定，都得玩完。
看 人 说 红 爹 感觉 确实 有点儿 点 完头 想 美国 哪部 电影 不是 蓝 宇宙 第一,我看有些人说又红又爹，感觉确实有点儿。但是点完头我又想，美国哪部电影不是又“蓝”又“宇宙第一”？
刘德华 那条 线 有点儿 意思 为 这个 系列 电影 开启 新 维度 太长 删减 强制 煽情 正 能量 短 min,刘德华那条线有点儿意思，为这个系列电影开启了新维度。太长了，删减强制煽情正能量能短30min。
低开 高 走 前 半小时 脚趾 抓地 刘培强 爱情 线 真的 很尬 那个 女性 胸部 特写 后 韩 朵朵 生气 厌恶 郭帆 这种 任何 笑点 恶趣味 图恒宇 线 救回来 华仔 真的 神 p 朱颜 曼滋 适合 这种 角色 喜欢 颜,低开高走，前半小时脚趾抓地，刘培强的爱情线真的很尬，那个女性胸部特写后韩朵朵生气，我非常非常厌恶郭帆这种没有任何笑点的恶趣味。图恒宇的线救回来了，华仔真的神。ps朱颜曼滋很适合这种角色，喜欢她的颜。
看 完 大年初一 就 电影院 哭 那种 天斗 人斗 命运 斗 为了 未知 未来 理想 奋斗 中式 硬核 浪漫 让 人 心潮澎湃 李雪健 那个 角色 大会 发言 真的 超牛大 刘 笔下 科幻 真是 处处 有着 中国 人 特有 务实 真诚 好 喜欢 电影 真的 太特 么 牛批,看完了，大年初一就在电影院哭了，那种与天斗与人斗与命运斗只为了未知的未来和理想奋斗的中式硬核浪漫让人心潮澎湃。李雪健那个角色在大会的发言真的超牛，大刘笔下的科幻真是处处有着中国人特有的务实和真诚，好喜欢，这电影真的太特么牛批了！
看到 沙溢 扮演 师傅 喊 出 五十岁 出列时 还是 忍不住 落泪,看到沙溢扮演的师傅喊出五十岁以上的出列时还是忍不住落泪
宏大 空洞 前卫 土气,宏大又空洞，前卫又土气
放 几年 前 我会 跟着 愤青 一起 骂骂 故事 写 不好 骂 节奏 但 其实 阅片量 来讲 根本 不 懂 这些 无非 就是 跟风 黑 显得 自己 多 专业 一样 呢 有 一部 电影 个 小时 让 不困 让 感慨 让 跟着 思路 去 走 看到 中国 电影 人 走向世界 野心 就 足够,放几年前，我会跟着愤青一起骂，骂故事写的不好，骂节奏，但其实我的阅片量来讲根本不懂这些。无非就是跟风黑，显得自己多专业一样。现在呢？有一部电影3个小时让我不困，让我感慨，让我跟着它的思路去走，还能看到中国电影人走向世界的野心，就已经足够了。
